body,date,jd,horizons_date,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
Earth,2024-10-14T16:06:00,2460598.170833333,A.D. 2024-Oct-14 16:06:00.0000,138842753.1354345,54585650.9532161,-3695.294086150825,-11.3873588340981,27.59858598924182,-0.002617247621708785
Earth,2026-12-03T21:15:00,2461378.385416667,A.D. 2026-Dec-03 21:15:00.0000,47173641.48608636,139717525.3747639,-8670.77995171398,-28.71023116937262,9.427763177281939,0.000287381161925726
Jupiter,2030-04-15,2462606.5,A.D. 2030-Apr-15 00:00:00.0000,-517811082.9863037,-620241133.3845785,14163385.12215537,9.88140533883264,-7.77206249138432,-0.1887736252601386
Mars,2025-03-01T17:57:00,2460736.247916667,A.D. 2025-Mar-01 17:57:00.0000,-177815951.5069667,172204728.7133858,7969275.54362347,-15.94373329506514,-15.33879201103947,0.06954514269125589
