leg,start_body,end_body,start_date,end_date,tof_days,a_km,p_km,e,v1x_km_s,v1y_km_s,v1z_km_s,v2x_km_s,v2y_km_s,v2z_km_s,vinf_depart_x_km_s,vinf_depart_y_km_s,vinf_depart_z_km_s,vinf_depart_mag_km_s,c3_km2_s2,vinf_arrive_x_km_s,vinf_arrive_y_km_s,vinf_arrive_z_km_s,vinf_arrive_mag_km_s
E-M,Earth,Mars,2024-10-14T16:06:00,2025-03-01T17:57:00,138,276373765.59222513,217299513.76733488,0.46232854360438985,-14.837597541635313,32.82030500644263,1.2719470735687368,-23.00002578132601,-7.9074358303673815,0.03794788180841068,-3.4502387075372134,5.221719017200812,1.2745643211904456,6.387097215671321,40.795010842436334,-7.056292486260869,7.431356180672088,-0.031597260882845125,10.247795700665101
M-E,Mars,Earth,2025-03-01T17:57:00,2026-12-03T21:15:00,642,239173749.90200436,185135149.6560119,0.47533006996319577,-21.65671341435863,-6.884912433152016,0.6542271409268229,-28.393175102012876,20.914466634754913,1.1977554455453754,-5.712980119293491,8.453879577887452,0.5846819982355671,10.219984090003562,104.44807479992593,0.31705606735974357,11.486703457472972,1.1974680643834497,11.553303018400817
E-J,Earth,Jupiter,2026-12-03T21:15:00,2030-04-15,1228,483186100.1252631,247219700.7080522,0.6988240884261285,-35.458082568245274,16.261926205933115,1.8744914985896595,4.2243988975862505,-5.988871172260579,-0.28572375920304977,-6.747851398872655,6.834163028651174,1.8742041174277337,9.785291200431049,95.75192387723331,-5.657006441246389,1.7831913191237412,-0.09695013394291116,5.932191204384173
